time,fuel_level,vehicle_speed,engine_speed
1.52E+12,0.0006875,0.0006875,911
1.52E+12,0.0006875,0.0006875,910
1.52E+12,0.0006875,0.0006875,910
1.52E+12,0.0006875,0.0006875,897
1.52E+12,0.0006875,0.0006875,902
1.52E+12,0.0006875,0.0006875,906
1.52E+12,0.0006875,0.0006875,904
1.52E+12,0.0006875,0.0006875,904
1.52E+12,0.0006875,0.0006875,905
1.52E+12,0.0006875,0.0006875,908
1.52E+12,0.0006875,0.0006875,896
1.52E+12,0.0006875,0.0006875,899
1.52E+12,0.0006875,0.0006875,898
1.52E+12,0.0006875,0.0006875,901
1.52E+12,0.0006875,0.0006875,913
1.52E+12,0.0006875,0.0006875,1060
1.52E+12,10.93671875,10.93671875,1373
1.52E+12,15.33671875,15.33671875,1096
1.52E+12,15.94471875,15.94471875,1056
1.52E+12,17.97671875,17.97671875,1149
1.52E+12,19.39275,19.39275,1279
1.52E+12,21.60075,21.60075,1398
1.52E+12,23.15275,23.15275,1534
1.52E+12,27.12878125,27.12878125,1831
1.52E+12,32.89678125,32.89678125,957
1.52E+12,33.8968125,33.8968125,1437
1.52E+12,37.62484375,37.62484375,1551
1.52E+12,34.04084375,34.04084375,1369
1.52E+12,33.344875,33.344875,1396
1.52E+12,34.184875,34.184875,1381
1.52E+12,32.20090625,32.20090625,1300
1.52E+12,26.74490625,26.74490625,909
1.52E+12,14.4169375,14.4169375,899
1.52E+12,1.3689375,1.3689375,902
1.52E+12,0.0009375,0.0009375,907
1.52E+12,0.0009375,0.0009375,904
1.52E+12,0.0009375,0.0009375,906
1.52E+12,0.0009375,0.0009375,909
1.52E+12,0.0009375,0.0009375,906
1.52E+12,0.0009375,0.0009375,904
1.52E+12,0.0009375,0.0009375,905
1.52E+12,0.0009375,0.0009375,902
1.52E+12,0.0009375,0.0009375,904
1.52E+12,0.0009375,0.0009375,903
1.52E+12,0.0009375,0.0009375,906
1.52E+12,0.0009375,0.0009375,896
1.52E+12,0.0009375,0.0009375,905
1.52E+12,0.0009375,0.0009375,910
1.52E+12,0.0009375,0.0009375,903
1.52E+12,0.0009375,0.0009375,904
1.52E+12,0.0009375,0.0009375,903
1.52E+12,0.0009375,0.0009375,903
1.52E+12,0.0009375,0.0009375,906
1.52E+12,0.0009375,0.0009375,907
1.52E+12,0.0009375,0.0009375,904
1.52E+12,0.0009375,0.0009375,903
1.52E+12,0.0009375,0.0009375,897
1.52E+12,0.0009375,0.0009375,905
1.52E+12,0.0009375,0.0009375,903
1.52E+12,0.0009375,0.0009375,906
1.52E+12,0.0009375,0.0009375,905
1.52E+12,0.0009375,0.0009375,900
1.52E+12,0.0009375,0.0009375,903
1.52E+12,0.0009375,0.0009375,900
1.52E+12,0.0009375,0.0009375,905
1.52E+12,0.0009375,0.0009375,903
1.52E+12,0.0009375,0.0009375,901
1.52E+12,0.0009375,0.0009375,901
1.52E+12,3.1529375,3.1529375,956
1.52E+12,8.0809375,8.0809375,941
1.52E+12,7.7849375,7.7849375,839
1.52E+12,12.4969375,12.4969375,823
1.52E+12,12.5849375,12.5849375,842
1.52E+12,12.06496875,12.06496875,918
1.52E+12,3.09696875,3.09696875,905
1.52E+12,0.00096875,0.00096875,908
1.52E+12,0.00096875,0.00096875,903
1.52E+12,0.00096875,0.00096875,902
1.52E+12,0.00096875,0.00096875,906
1.52E+12,0.00096875,0.00096875,903
1.52E+12,0.00096875,0.00096875,904
1.52E+12,0.00096875,0.00096875,899
1.52E+12,0.00096875,0.00096875,899
1.52E+12,0.00096875,0.00096875,906
1.52E+12,0.00096875,0.00096875,904
1.52E+12,0.00096875,0.00096875,905
1.52E+12,0.00096875,0.00096875,906
1.52E+12,0.00096875,0.00096875,912
1.52E+12,5.04896875,5.04896875,889
1.52E+12,10.08096875,10.08096875,952
1.52E+12,12.35296875,12.35296875,895
1.52E+12,15.64896875,15.64896875,1056
1.52E+12,20.12,20.12,1370
1.52E+12,27.184,27.184,1856
1.52E+12,30.85603125,30.85603125,1457
1.52E+12,34.32003125,34.32003125,1444
1.52E+12,38.9120625,38.9120625,1635
1.52E+12,42.85609375,42.85609375,1795
1.52E+12,46.40009375,46.40009375,1948
1.52E+12,49.080125,49.080125,2030
1.52E+12,49.24015625,49.24015625,2007
1.52E+12,45.3921875,45.3921875,1861
1.52E+12,44.86421875,44.86421875,1888
1.52E+12,45.40021875,45.40021875,1866
1.52E+12,43.08025,43.08025,1765
1.52E+12,42.68828125,42.68828125,1775
1.52E+12,43.4803125,43.4803125,1822
1.52E+12,45.0723125,45.0723125,1851
1.52E+12,45.63234375,45.63234375,1899
